time_s,CH1_V,CH2_V
-0.4451,0.0004,-0.0844
-0.44509,0.0004,-0.0844
-0.44508,0.0004,-0.0844
-0.44506999999999997,0.0004,-0.0844
-0.44506,-0.0004,-0.0844
-0.44505,0.0004,-0.0844
-0.44504,-0.002,-0.0844
-0.44503,0.0004,-0.0844
-0.44501999999999997,-0.0004,-0.0844
-0.44501,0.0004,-0.0844
-0.445,0.0012000000000000001,-0.0844
-0.44499,0.0004,-0.0844
-0.44498,0.0004,-0.0844
-0.44497,0.0004,-0.0844
-0.44496,-0.0012000000000000001,-0.0844
-0.44495,0.0012000000000000001,-0.0844
-0.44494,-0.0004,-0.0844
-0.44493,-0.0012000000000000001,-0.0844
-0.44492,0.002,-0.0844
-0.44490999999999997,-0.0012000000000000001,-0.0844
-0.4449,0.0004,-0.0844
-0.44489,-0.0004,-0.0844
-0.44488,-0.0004,-0.0844
-0.44487,0.0004,-0.0844
-0.44486,-0.0004,-0.0844
-0.44484999999999997,-0.0004,-0.0844
-0.44484,0.0004,-0.0844
-0.44483,-0.0004,-0.0844
-0.44482,-0.0004,-0.0844
-0.44481,0.0004,-0.0844
-0.4448,-0.0004,-0.0844
-0.44479,-0.0004,-0.0844
-0.44478,-0.0012000000000000001,-0.0844
-0.44477,0.0004,-0.0844
-0.44476,-0.0004,-0.0844
-0.44475,-0.0012000000000000001,-0.0844
-0.44474,0.0004,-0.0844
-0.44473,-0.0004,-0.0844
-0.44472,-0.0004,-0.0844
-0.44471,0.0004,-0.0844
-0.4447,-0.0004,-0.0844
-0.44469,0.0004,-0.0844
-0.44468,-0.0012000000000000001,-0.0844
-0.44467,0.0004,-0.0844
-0.44466,-0.0004,-0.0844
-0.44465,-0.0004,-0.0844
-0.44464,0.0004,-0.0844
-0.44462999999999997,-0.0012000000000000001,-0.0844
-0.44462,0.0004,-0.0844
-0.44461,0.0004,-0.0844
-0.4446,-0.0004,-0.0844
-0.44459,-0.0012000000000000001,-0.0844
-0.44458,-0.0012000000000000001,-0.0844
-0.44457,-0.0004,-0.0844
-0.44456,-0.0004,-0.0844
-0.44455,0.0004,-0.0844
-0.44454,-0.0004,-0.0844
-0.44453,0.0004,-0.0844
-0.44452,-0.0004,-0.0844
-0.44451,-0.0004,-0.0844
-0.4445,0.0004,-0.0844
-0.44449,-0.0004,-0.0844
-0.44448,0.0004,-0.0844
-0.44447,-0.0004,-0.0844
-0.44445999999999997,-0.0004,-0.0844
-0.44445,0.0012000000000000001,-0.0844
-0.44444,-0.002,-0.0844
-0.44443,0.0004,-0.0844
-0.44442,-0.002,-0.0844
-0.44440999999999997,0.0004,-0.0844
-0.4444,0.0004,-0.0844
-0.44439,-0.0004,-0.0844
-0.44438,-0.0004,-0.0844
-0.44437,-0.0004,-0.0844
-0.44436,-0.0004,-0.0844
-0.44435,0.0004,-0.0844
-0.44434,0.0012000000000000001,-0.0844
-0.44433,-0.0012000000000000001,-0.0844
-0.44432,-0.0012000000000000001,-0.0844
-0.44431,-0.0004,-0.0844
-0.4443,0.0004,-0.0844
-0.44429,-0.0004,-0.0844
-0.44428,0.0004,-0.0844
-0.44427,0.0012000000000000001,-0.0844
-0.44426,0.0004,-0.0844
-0.44425,-0.0012000000000000001,-0.0844
-0.44423999999999997,-0.0004,-0.0844
-0.44423,-0.0004,-0.0844
-0.44422,0.0004,-0.0844
-0.44421,0.0004,-0.0844
-0.4442,-0.0004,-0.0844
-0.44419,-0.0012000000000000001,-0.0844
-0.44418,0.0004,-0.0844
-0.44417,-0.0004,-0.0844
-0.44416,-0.0004,-0.0844
-0.44415,-0.0004,-0.0844
-0.44414,-0.002,-0.0844
-0.44413,-0.0004,-0.0844
-0.44412,-0.0012000000000000001,-0.0844
-0.44411,-0.0012000000000000001,-0.0844
-0.4441,-0.0012000000000000001,-0.0844
-0.44409,-0.002,-0.0844
-0.44408,-0.0004,-0.0844
-0.44406999999999996,-0.0004,-0.0844
-0.44406,-0.0004,-0.0844
-0.44405,-0.0004,-0.0844
-0.44404,-0.0012000000000000001,-0.0844
-0.44403,-0.0004,-0.0844
-0.44401999999999997,-0.0012000000000000001,-0.0844
-0.44401,-0.0012000000000000001,-0.0844
-0.444,-0.0004,-0.0844
-0.44399,-0.0004,-0.0844
-0.44398,-0.0012000000000000001,-0.0844
-0.44397,0.0004,-0.0844
-0.44396,-0.0004,-0.0844
-0.44395,-0.0012000000000000001,-0.0844
-0.44394,-0.0012000000000000001,-0.0844
-0.44393,-0.0012000000000000001,-0.0844
-0.44392,-0.0004,-0.0844
-0.44390999999999997,-0.0012000000000000001,-0.0844
-0.4439,-0.0004,-0.0844
-0.44389,0.0004,-0.0844
-0.44388,0.0004,-0.0844
-0.44387,-0.0012000000000000001,-0.0844
-0.44386,-0.0004,-0.0844
-0.44384999999999997,-0.0004,-0.0844
-0.44384,-0.0004,-0.0844
-0.44383,-0.0004,-0.0844
-0.44382,-0.0004,-0.0844
-0.44381,0.0004,-0.0844
-0.4438,0.0004,-0.0844
-0.44379,-0.0004,-0.0844
-0.44378,-0.0012000000000000001,-0.0844
-0.44377,-0.0004,-0.0844
-0.44376,-0.0004,-0.0844
-0.44375,-0.0012000000000000001,-0.0844
-0.44374,-0.0012000000000000001,-0.0844
-0.44373,-0.0004,-0.0844
-0.44372,0.0004,-0.0844
-0.44371,-0.0004,-0.0844
-0.4437,0.0004,-0.0844
-0.44369,-0.002,-0.0844
-0.44368,-0.0004,-0.0844
-0.44367,-0.0012000000000000001,-0.0844
-0.44366,-0.0004,-0.0844
-0.44365,0.0004,-0.0844
-0.44364,-0.0012000000000000001,-0.0844
-0.44362999999999997,-0.0012000000000000001,-0.0844
-0.44362,-0.0004,-0.0844
-0.44361,0.0012000000000000001,-0.0844
-0.4436,0.0004,-0.0844
-0.44359,0.0012000000000000001,-0.0844
-0.44358,-0.0004,-0.0844
-0.44357,0.0004,-0.0844
-0.44356,-0.0004,-0.0844
-0.44355,-0.0004,-0.0844
-0.44354,0.0004,-0.0844
-0.44353,-0.0004,-0.0844
-0.44352,-0.0012000000000000001,-0.0844
-0.44351,-0.0004,-0.0844
-0.4435,-0.0012000000000000001,-0.0844
-0.44349,-0.0012000000000000001,-0.0844
-0.44348,-0.0012000000000000001,-0.0844
-0.44347,-0.0004,-0.0844
-0.44345999999999997,0.0004,-0.0844
-0.44345,-0.0012000000000000001,-0.0844
-0.44344,0.0004,-0.0844
-0.44343,0.0004,-0.0844
-0.44342,0.0004,-0.0844
-0.44340999999999997,-0.0004,-0.0844
-0.4434,-0.0012000000000000001,-0.0844
-0.44339,-0.0004,-0.0844
-0.44338,-0.0012000000000000001,-0.0844
-0.44337,0.0004,-0.0844
-0.44336,-0.0004,-0.0844
-0.44335,-0.0012000000000000001,-0.0844
