TIME,CH1,CH2,FREQ
0.28071,0.037200000000000004,0.0572,456774306079452.312500
0.2807200000000001,0.0364,0.048400000000000006,456774306079452.312500
0.28073000000000004,0.038,0.0596,456774306079452.312500
0.2807400000000001,0.0356,0.058800000000000005,456774306079452.312500
0.28075000000000006,0.0364,0.058,456774306079452.312500
0.28076,0.0364,0.058,456774306079452.312500
0.2807700000000001,0.034800000000000005,0.0596,456774306079452.312500
0.28078000000000003,0.0356,0.058,456774306079452.312500
0.2807900000000001,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.28080000000000005,0.0364,0.0572,456774306079452.312500
0.2808100000000001,0.034,0.05,456774306079452.312500
0.28082000000000007,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.28083,0.0332,0.054,456774306079452.312500
0.2808400000000001,0.0356,0.0572,456774306079452.312500
0.28085000000000004,0.0332,0.048400000000000006,456774306079452.312500
0.2808600000000001,0.0308,0.058,456774306079452.312500
0.28087000000000006,0.0332,0.058800000000000005,456774306079452.312500
0.28088,0.034,0.058,456774306079452.312500
0.2808900000000001,0.0332,0.058800000000000005,456774306079452.312500
0.28090000000000004,0.0332,0.058,456774306079452.312500
0.2809100000000001,0.0316,0.053200000000000004,456774306079452.312500
0.28092000000000006,0.0308,0.058,456774306079452.312500
0.28093,0.034800000000000005,0.058,456774306079452.312500
0.2809400000000001,0.0364,0.050800000000000005,456774306079452.312500
0.28095000000000003,0.0356,0.0572,456774306079452.312500
0.2809600000000001,0.0332,0.0412,456774306079452.312500
0.28097000000000005,0.030000000000000002,0.058,456774306079452.312500
0.2809800000000001,0.0332,0.053200000000000004,456774306079452.312500
0.2809900000000001,0.0364,0.0572,456774306079452.312500
0.281,0.037200000000000004,0.058,456774306079452.312500
0.2810100000000001,0.0364,0.0572,456774306079452.312500
0.28102000000000005,0.0356,0.058800000000000005,456774306079452.312500
0.2810300000000001,0.030000000000000002,0.0596,456774306079452.312500
0.28104000000000007,0.037200000000000004,0.058,456774306079452.312500
0.28105,0.034800000000000005,0.054,456774306079452.312500
0.2810600000000001,0.0332,0.0596,456774306079452.312500
0.28107000000000004,0.0364,0.0572,456774306079452.312500
0.2810800000000001,0.034,0.0548,456774306079452.312500
0.28109000000000006,0.0332,0.058800000000000005,456774306079452.312500
0.2811,0.0308,0.0572,456774306079452.312500
0.2811100000000001,0.034,0.058800000000000005,456774306079452.312500
0.28112000000000004,0.034800000000000005,0.0548,456774306079452.312500
0.2811300000000001,0.0284,0.058800000000000005,456774306079452.312500
0.28114000000000006,0.0284,0.058,456774306079452.312500
0.28115,0.0284,0.058,456774306079452.312500
